"archive_path","archive_group","archive_stem","numeric_id","archive_role","size_bytes","reason"
"bo/1141010.arc","bo","1141010","","other","359768","not_present_in_gbm_archive_lookup_index"
"bo/1141110.arc","bo","1141110","","other","354088","not_present_in_gbm_archive_lookup_index"
"bo/1141210.arc","bo","1141210","","other","330984","not_present_in_gbm_archive_lookup_index"
"bo/1141310.arc","bo","1141310","","other","373912","not_present_in_gbm_archive_lookup_index"
"bo/1150010.arc","bo","1150010","","other","324672","not_present_in_gbm_archive_lookup_index"
"bo/1150110.arc","bo","1150110","","other","361960","not_present_in_gbm_archive_lookup_index"
"bo/1150210.arc","bo","1150210","","other","326080","not_present_in_gbm_archive_lookup_index"
"bo/1150310.arc","bo","1150310","","other","345968","not_present_in_gbm_archive_lookup_index"
"bo/1150410.arc","bo","1150410","","other","318488","not_present_in_gbm_archive_lookup_index"
"bo/1160010.arc","bo","1160010","","other","334088","not_present_in_gbm_archive_lookup_index"
"bo/1160210.arc","bo","1160210","","other","337328","not_present_in_gbm_archive_lookup_index"
"bo/1160410.arc","bo","1160410","","other","309776","not_present_in_gbm_archive_lookup_index"
"bo/1160710.arc","bo","1160710","","other","343272","not_present_in_gbm_archive_lookup_index"
"bo/1160810.arc","bo","1160810","","other","348248","not_present_in_gbm_archive_lookup_index"
"bo/1160910.arc","bo","1160910","","other","339384","not_present_in_gbm_archive_lookup_index"
"bo/1161010.arc","bo","1161010","","other","353072","not_present_in_gbm_archive_lookup_index"
"bo/1161110.arc","bo","1161110","","other","361024","not_present_in_gbm_archive_lookup_index"
"bo/1161210.arc","bo","1161210","","other","377560","not_present_in_gbm_archive_lookup_index"
"bo/1170120.arc","bo","1170120","","other","400104","not_present_in_gbm_archive_lookup_index"
"bo/1180010.arc","bo","1180010","","other","274576","not_present_in_gbm_archive_lookup_index"
"bo/1180110.arc","bo","1180110","","other","280056","not_present_in_gbm_archive_lookup_index"
"bo/1190010.arc","bo","1190010","","other","301648","not_present_in_gbm_archive_lookup_index"
"bo/1200010.arc","bo","1200010","","other","340600","not_present_in_gbm_archive_lookup_index"
"bo/1200110.arc","bo","1200110","","other","288560","not_present_in_gbm_archive_lookup_index"
"bo/1200210.arc","bo","1200210","","other","322792","not_present_in_gbm_archive_lookup_index"
"bo/1200310.arc","bo","1200310","","other","330768","not_present_in_gbm_archive_lookup_index"
"bo/1200410.arc","bo","1200410","","other","344496","not_present_in_gbm_archive_lookup_index"
"bo/1210010.arc","bo","1210010","","other","291168","not_present_in_gbm_archive_lookup_index"
"bo/1210110.arc","bo","1210110","","other","301760","not_present_in_gbm_archive_lookup_index"
"bo/1210120.arc","bo","1210120","","other","301760","not_present_in_gbm_archive_lookup_index"
"bo/1210310.arc","bo","1210310","","other","384696","not_present_in_gbm_archive_lookup_index"
"bo/1210410.arc","bo","1210410","","other","389856","not_present_in_gbm_archive_lookup_index"
"bo/1210510.arc","bo","1210510","","other","301760","not_present_in_gbm_archive_lookup_index"
"bo/1211010.arc","bo","1211010","","other","248272","not_present_in_gbm_archive_lookup_index"
"bo/1211110.arc","bo","1211110","","other","251656","not_present_in_gbm_archive_lookup_index"
"bo/1211210.arc","bo","1211210","","other","264240","not_present_in_gbm_archive_lookup_index"
"bo/1211510.arc","bo","1211510","","other","276080","not_present_in_gbm_archive_lookup_index"
"bo/1212010.arc","bo","1212010","","other","339112","not_present_in_gbm_archive_lookup_index"
"bo/1212510.arc","bo","1212510","","other","412952","not_present_in_gbm_archive_lookup_index"
"bo/1212610.arc","bo","1212610","","other","412952","not_present_in_gbm_archive_lookup_index"
"bo/1213020.arc","bo","1213020","","other","422400","not_present_in_gbm_archive_lookup_index"
"bo/1213220.arc","bo","1213220","","other","409536","not_present_in_gbm_archive_lookup_index"
"bo/1213510.arc","bo","1213510","","other","361424","not_present_in_gbm_archive_lookup_index"
"bo/1214010.arc","bo","1214010","","other","423464","not_present_in_gbm_archive_lookup_index"
"bo/1214110.arc","bo","1214110","","other","335456","not_present_in_gbm_archive_lookup_index"
"bo/1214210.arc","bo","1214210","","other","319936","not_present_in_gbm_archive_lookup_index"
"bo/1214520.arc","bo","1214520","","other","335064","not_present_in_gbm_archive_lookup_index"
"bo/1215010.arc","bo","1215010","","other","342920","not_present_in_gbm_archive_lookup_index"
"bo/1215520.arc","bo","1215520","","other","439136","not_present_in_gbm_archive_lookup_index"
"bo/1215620.arc","bo","1215620","","other","437456","not_present_in_gbm_archive_lookup_index"
"bo/1216010.arc","bo","1216010","","other","347512","not_present_in_gbm_archive_lookup_index"
"bo/1220010.arc","bo","1220010","","other","347176","not_present_in_gbm_archive_lookup_index"
"bo/1220110.arc","bo","1220110","","other","342552","not_present_in_gbm_archive_lookup_index"
"bo/1220310.arc","bo","1220310","","other","354432","not_present_in_gbm_archive_lookup_index"
"bo/1220410.arc","bo","1220410","","other","354384","not_present_in_gbm_archive_lookup_index"
"bo/1220510.arc","bo","1220510","","other","363608","not_present_in_gbm_archive_lookup_index"
"bo/1220610.arc","bo","1220610","","other","332392","not_present_in_gbm_archive_lookup_index"
"bo/1220810.arc","bo","1220810","","other","349312","not_present_in_gbm_archive_lookup_index"
"bo/1221210.arc","bo","1221210","","other","329376","not_present_in_gbm_archive_lookup_index"
"bo/1221310.arc","bo","1221310","","other","362720","not_present_in_gbm_archive_lookup_index"
"bo/1221420.arc","bo","1221420","","other","415304","not_present_in_gbm_archive_lookup_index"
"bo/1221510.arc","bo","1221510","","other","361976","not_present_in_gbm_archive_lookup_index"
"bo/1221610.arc","bo","1221610","","other","303480","not_present_in_gbm_archive_lookup_index"
"bo/1221710.arc","bo","1221710","","other","297016","not_present_in_gbm_archive_lookup_index"
"bo/1222010.arc","bo","1222010","","other","288104","not_present_in_gbm_archive_lookup_index"
"bo/1222110.arc","bo","1222110","","other","356696","not_present_in_gbm_archive_lookup_index"
"bo/1222210.arc","bo","1222210","","other","359240","not_present_in_gbm_archive_lookup_index"
"bo/1222410.arc","bo","1222410","","other","355160","not_present_in_gbm_archive_lookup_index"
"bo/1222810.arc","bo","1222810","","other","338080","not_present_in_gbm_archive_lookup_index"
"bo/1223210.arc","bo","1223210","","other","377008","not_present_in_gbm_archive_lookup_index"
"bo/1223620.arc","bo","1223620","","other","216128","not_present_in_gbm_archive_lookup_index"
"bo/1223710.arc","bo","1223710","","other","382672","not_present_in_gbm_archive_lookup_index"
"bo/1223820.arc","bo","1223820","","other","397120","not_present_in_gbm_archive_lookup_index"
"bo/1223910.arc","bo","1223910","","other","374160","not_present_in_gbm_archive_lookup_index"
"bo/1224010.arc","bo","1224010","","other","380968","not_present_in_gbm_archive_lookup_index"
"bo/1224110.arc","bo","1224110","","other","382344","not_present_in_gbm_archive_lookup_index"
"bo/1224210.arc","bo","1224210","","other","367192","not_present_in_gbm_archive_lookup_index"
"bo/1224310.arc","bo","1224310","","other","376640","not_present_in_gbm_archive_lookup_index"
"bo/1224410.arc","bo","1224410","","other","401520","not_present_in_gbm_archive_lookup_index"
"bo/1224610.arc","bo","1224610","","other","343616","not_present_in_gbm_archive_lookup_index"
"bo/1224710.arc","bo","1224710","","other","376024","not_present_in_gbm_archive_lookup_index"
"bo/1224910.arc","bo","1224910","","other","307008","not_present_in_gbm_archive_lookup_index"
"bo/1225010.arc","bo","1225010","","other","344568","not_present_in_gbm_archive_lookup_index"
"bo/1225110.arc","bo","1225110","","other","327616","not_present_in_gbm_archive_lookup_index"
"bo/1225210.arc","bo","1225210","","other","352152","not_present_in_gbm_archive_lookup_index"
"bo/1225310.arc","bo","1225310","","other","362984","not_present_in_gbm_archive_lookup_index"
"bo/1225510.arc","bo","1225510","","other","359112","not_present_in_gbm_archive_lookup_index"
"bo/1225610.arc","bo","1225610","","other","372512","not_present_in_gbm_archive_lookup_index"
"bo/1225820.arc","bo","1225820","","other","376000","not_present_in_gbm_archive_lookup_index"
"bo/1225920.arc","bo","1225920","","other","428232","not_present_in_gbm_archive_lookup_index"
"bo/1226210.arc","bo","1226210","","other","338624","not_present_in_gbm_archive_lookup_index"
"bo/1226320.arc","bo","1226320","","other","475072","not_present_in_gbm_archive_lookup_index"
"bo/1226420.arc","bo","1226420","","other","353344","not_present_in_gbm_archive_lookup_index"
"bo/1226710.arc","bo","1226710","","other","385280","not_present_in_gbm_archive_lookup_index"
"bo/1226820.arc","bo","1226820","","other","385536","not_present_in_gbm_archive_lookup_index"
"bo/1226910.arc","bo","1226910","","other","321528","not_present_in_gbm_archive_lookup_index"
"bo/1227020.arc","bo","1227020","","other","375008","not_present_in_gbm_archive_lookup_index"
"bo/1227120.arc","bo","1227120","","other","406832","not_present_in_gbm_archive_lookup_index"
"bo/1227210.arc","bo","1227210","","other","279328","not_present_in_gbm_archive_lookup_index"
"bo/1227810.arc","bo","1227810","","other","311912","not_present_in_gbm_archive_lookup_index"
"bo/1228210.arc","bo","1228210","","other","314840","not_present_in_gbm_archive_lookup_index"
"bo/1228310.arc","bo","1228310","","other","353336","not_present_in_gbm_archive_lookup_index"
"bo/1228520.arc","bo","1228520","","other","385536","not_present_in_gbm_archive_lookup_index"
"bo/1228620.arc","bo","1228620","","other","385536","not_present_in_gbm_archive_lookup_index"
"bo/1228810.arc","bo","1228810","","other","293848","not_present_in_gbm_archive_lookup_index"
"bo/1228910.arc","bo","1228910","","other","360216","not_present_in_gbm_archive_lookup_index"
"bo/1229210.arc","bo","1229210","","other","336376","not_present_in_gbm_archive_lookup_index"
"bo/1229310.arc","bo","1229310","","other","308632","not_present_in_gbm_archive_lookup_index"
"bo/1229410.arc","bo","1229410","","other","355288","not_present_in_gbm_archive_lookup_index"
"bo/1229510.arc","bo","1229510","","other","265112","not_present_in_gbm_archive_lookup_index"
"bo/1230010.arc","bo","1230010","","other","331816","not_present_in_gbm_archive_lookup_index"
"bo/1230510.arc","bo","1230510","","other","407520","not_present_in_gbm_archive_lookup_index"
"bo/1230619.arc","bo","1230619","","other","70944","not_present_in_gbm_archive_lookup_index"
"bo/1231110.arc","bo","1231110","","other","328344","not_present_in_gbm_archive_lookup_index"
"bo/1231210.arc","bo","1231210","","other","345768","not_present_in_gbm_archive_lookup_index"
"bo/1231310.arc","bo","1231310","","other","331392","not_present_in_gbm_archive_lookup_index"
"bo/1231410.arc","bo","1231410","","other","340664","not_present_in_gbm_archive_lookup_index"
"bo/1231610.arc","bo","1231610","","other","336504","not_present_in_gbm_archive_lookup_index"
"bo/1231710.arc","bo","1231710","","other","343208","not_present_in_gbm_archive_lookup_index"
"bo/1231810.arc","bo","1231810","","other","285120","not_present_in_gbm_archive_lookup_index"
"bo/1231910.arc","bo","1231910","","other","378488","not_present_in_gbm_archive_lookup_index"
"bo/1232110.arc","bo","1232110","","other","346248","not_present_in_gbm_archive_lookup_index"
"bo/1232210.arc","bo","1232210","","other","391224","not_present_in_gbm_archive_lookup_index"
"bo/1232310.arc","bo","1232310","","other","322896","not_present_in_gbm_archive_lookup_index"
"bo/1232510.arc","bo","1232510","","other","339440","not_present_in_gbm_archive_lookup_index"
"bo/1232610.arc","bo","1232610","","other","386024","not_present_in_gbm_archive_lookup_index"
"bo/1232810.arc","bo","1232810","","other","367544","not_present_in_gbm_archive_lookup_index"
"bo/1233010.arc","bo","1233010","","other","341216","not_present_in_gbm_archive_lookup_index"
"bo/1233110.arc","bo","1233110","","other","345784","not_present_in_gbm_archive_lookup_index"
"bo/1233210.arc","bo","1233210","","other","367744","not_present_in_gbm_archive_lookup_index"
"bo/1233310.arc","bo","1233310","","other","369104","not_present_in_gbm_archive_lookup_index"
"bo/1233410.arc","bo","1233410","","other","382576","not_present_in_gbm_archive_lookup_index"
"bo/1233510.arc","bo","1233510","","other","330640","not_present_in_gbm_archive_lookup_index"
"bo/1233610.arc","bo","1233610","","other","366360","not_present_in_gbm_archive_lookup_index"
"bo/1233710.arc","bo","1233710","","other","288720","not_present_in_gbm_archive_lookup_index"
"bo/1233810.arc","bo","1233810","","other","366104","not_present_in_gbm_archive_lookup_index"
"bo/1233920.arc","bo","1233920","","other","287720","not_present_in_gbm_archive_lookup_index"
"bo/1234010.arc","bo","1234010","","other","365544","not_present_in_gbm_archive_lookup_index"
"bo/1234110.arc","bo","1234110","","other","338736","not_present_in_gbm_archive_lookup_index"
"bo/1234210.arc","bo","1234210","","other","423880","not_present_in_gbm_archive_lookup_index"
"bo/1234510.arc","bo","1234510","","other","342232","not_present_in_gbm_archive_lookup_index"
"bo/1234710.arc","bo","1234710","","other","365392","not_present_in_gbm_archive_lookup_index"
"bo/1234810.arc","bo","1234810","","other","335184","not_present_in_gbm_archive_lookup_index"
"bo/1234920.arc","bo","1234920","","other","485624","not_present_in_gbm_archive_lookup_index"
"bo/1235020.arc","bo","1235020","","other","410712","not_present_in_gbm_archive_lookup_index"
"bo/1235210.arc","bo","1235210","","other","369192","not_present_in_gbm_archive_lookup_index"
"bo/1235310.arc","bo","1235310","","other","352496","not_present_in_gbm_archive_lookup_index"
"bo/1235410.arc","bo","1235410","","other","379304","not_present_in_gbm_archive_lookup_index"
"bo/1235510.arc","bo","1235510","","other","281888","not_present_in_gbm_archive_lookup_index"
